"id","ean","nombre","descripcion","imagen","precio","precio_con_descuento","departamento","categoria","subcategoria"
"11ab7cdf-8533-4ce6-a8c2-487cb54792c1","7501062106714",Juego De Herramientas Pza,"",,$389.00,$0.00,Juguetes,Pon a jugar su imaginación,Manualidades
a2ab15cc-6352-4dae-87c5-204fddb0ca13,"7501058642172",Sustituto de Crema para Café Coffee Mate Líquido Sabor Caramelo 530g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw990237ec/images/product/7501058642172_A.jpg?sw=445&sh=445&sm=fit,$37.90,$0.00,Despensa,"Café, té y chocolate",Cremas para café
a93b3d24-6431-46e8-8dee-d1e347a5dc5e,"7500810011980",Botana Palomitas Karameladas Barcel 240 g,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwd37e1a85/images/product/7500810011980_A.jpg?sw=445&sh=445&sm=fit,$44.90,$0.00,Despensa,Botanas y tostadas,Papas y frituras
a9b535f3-a8d4-438c-beb8-c268b3e7c03c,"7506425600397","Servilletas Pétalo Blanca 420 Piezas, Hoja Sencilla","",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw8a9132f8/images/product/7506425600397_A.jpg?sw=445&sh=445&sm=fit,$58.90,$0.00,Limpieza del hogar,Productos de papel para el hogar,Servilletas
"99775988-28d9-4ea2-ba3a-488958d7ed89","7501017361144","Servilletas Kleenex Class 200 Piezas, Hojas Dobles","",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw51dba233/images/product/7501017361144_A.jpg?sw=445&sh=445&sm=fit,$86.90,$0.00,Limpieza del hogar,Productos de papel para el hogar,Servilletas
eb799715-ab29-4dcb-9bd1-3fc85583f2ea,"7501036626286",Servilletas Regio Hogar 400 Piezas,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw392c2d2f/images/product/7501036626286_A.jpg?sw=445&sh=445&sm=fit,$68.50,$0.00,Limpieza del hogar,Productos de papel para el hogar,Servilletas
d2d78f5c-a772-40df-b768-7ddd2c1d9e5a,"7502258480304",Almendra Granut Mix Caja 60 Gr,"",,$32.50,$0.00,Despensa,Botanas y tostadas,Semillas para botana
"2ec0a979-53b7-46e7-a567-513316ecd61e","7503009737180",Filete de Pescado Rivera con Pimienta y Limón 500 gr,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwdda84d38/images/product/7503009737180_A.jpg?sw=445&sh=445&sm=fit,$134.00,$0.00,Alimentos congelados y refrigerados,Alimentos congelados,Pescados y mariscos
"3f88275b-ef2e-4bc7-abc0-99efe00b7589","0205400000005",Chorizo Corona Argentino 1 kg,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwe0d44496/images/product/0205400000005_A.jpg?sw=445&sh=445&sm=fit,$188.00,$0.00,"Queso, salchichas y deli",Salchichonería,"Chorizo, chistorra y longaniza"
"4345b879-0e62-4b8b-9ac3-aebdcd84f4f6","0726798269794",Tostadas de Coliflor Cinca 156gr,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwd03de2d9/images/product/0726798269794_A.jpg?sw=445&sh=445&sm=fit,$85.90,$0.00,Despensa,Botanas y tostadas,Tostadas y totopos
caccd2b5-8d82-4daa-9dd7-8d06ded55082,"7501032918392",Repelente Corporal OFF! Crema Aloe Vera 190 ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwa900a037/images/product/7501032918392_A.jpg?sw=445&sh=445&sm=fit,$111.00,$0.00,Cuidado personal y belleza,Protección solar y repelentes,Repelentes para mosquitos
"9af91137-ee2d-4b09-be67-7c520ec59dcb","8437007442021",Vino Tinto Finca Iriarte 750ml,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dwe1d04f21/images/product/8437007442021_A.jpg?sw=445&sh=445&sm=fit,$299.00,$0.00,"Vinos, licores y cervezas",Vinos,Vino tinto
"6cf75996-a116-4b7c-9f8c-1abc86edee4e","8436549460074",Lentejas Tarro Cristal  Vive Sabor 560 G,"",https://www.soriana.com/dw/image/v2/BGBD_PRD/on/demandware.static/-/Sites-soriana-grocery-master-catalog/default/dw77ddad9a/images/product/8436549460074_A.jpg?sw=445&sh=445&sm=fit,$23.50,$0.00,Despensa,Gourmet,Pastas y salsas
